"ID","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Subscription.Start.Date","Subscription.Expiration","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","ExchangeRateToUSD","AmountInUSD","US_Canada","Other","Europe","Web.Purchase","App.Purchase","valueCust","OpenSendRatio","IsConsumer","IsOther","IsPOR","IsEBR","IsESP","IsKOR","IsENG","IsDEU","IsFRA","IsGLE","IsALL","IsSVE","IsITA","IsJPN","IsRUS","IsESC","IsFAR","IsGRK","IsARA","IsPOL","IsCHI","IsTUR","IsNED","IsVIE","IsHEB","IsTGL","IsHIN","IsDAR","IsLAT","IsKIS","IsURD","IsIND","IsPAS"
76,"ARA",0,0,"Web",0,"USD","10/9/2018","1/9/2021",1,0,0,"US/Canada","Consumer","App",1,1,2,2,1,2,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,"FRA",0,0,"Web",119,"USD","9/4/2019","3/7/2020",0,1,0,"US/Canada","Consumer","Web",1,1,9,0,0,0,0,1,119,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,"POL",0,0,"Web",49.5,"EUR","3/17/2020","6/17/2020",0,0,1,"Europe","Consumer","Web",1,1,56,9,0,7,0,1.12,55.44,0,0,1,1,0,1,0.160714285714286,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"RUS",0,0,"Web",143.76,"USD","9/27/2019","12/30/2019",0,1,1,"US/Canada","Consumer","Web",1,1,2,0,0,0,0,1,143.76,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"ESP",0,0,"Web",0,"USD","5/17/2019","8/17/2019",1,0,0,"US/Canada","Consumer","Web",1,1,17,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,"FRA",0,0,"Web",35.97,"USD","9/22/2019","6/22/2020",1,0,1,"US/Canada","Consumer","App",1,1,4,0,0,0,0,1,35.97,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,"ALL",1,0,"Web",110,"GBP","2/11/2020","1/1/2099",0,0,0,"Europe","Consumer","Web",0,1,2,1,0,1,0,1.31,144.1,0,0,1,1,0,1,0.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,"ALL",1,0,"Web",199,"USD","2/23/2020","1/1/2099",0,0,0,"Other","Other","Unknown",0,0,7,1,0,1,0,1,199,0,1,0,1,0,1,0.142857142857143,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,"FRA",0,0,"Web",35.97,"USD","10/18/2019","7/21/2020",0,1,1,"US/Canada","Consumer","Web",1,1,6,4,0,2,0,1,35.97,1,0,0,1,0,1,0.666666666666667,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"ENG",0,0,"Web",79,"USD","7/14/2019","2/8/2020",0,1,0,"US/Canada","Consumer","Web",1,1,274,243,7,74,1,1,79,1,0,0,1,0,0,0.886861313868613,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,"KOR",0,0,"Web",0,"EUR","2/17/2019","2/17/2021",1,0,0,"Europe","Consumer","App",1,1,42,12,0,6,0,1.12,0,0,0,1,1,0,0,0.285714285714286,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,"ALL",1,0,"Web",189,"USD","3/5/2020","1/1/2099",0,1,0,"Other","Consumer","Web",0,1,5,5,0,1,0,1,189,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,"FRA",0,0,"Web",0,"USD","10/11/2018","10/11/2019",0,0,0,"US/Canada","Consumer","Web",0,1,54,1,1,1,1,1,0,1,0,0,1,0,0,0.0185185185185185,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,"ARA",0,0,"Web",44.5,"EUR","12/12/2019","6/16/2020",0,1,0,"Europe","Consumer","Web",0,1,12,12,12,2,2,1.12,49.84,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,"TUR",0,0,"Web",70.29,"USD","10/19/2018","10/31/2020",0,0,1,"US/Canada","Consumer","Web",1,1,2,0,0,0,0,1,70.29,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
123,"ALL",1,0,"Web",216.11,"USD","3/13/2020","1/1/2099",1,0,0,"US/Canada","Consumer","App",1,1,19,13,5,4,1,1,216.11,1,0,0,1,0,1,0.684210526315789,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,"ESP",0,0,"Web",35.97,"USD","10/25/2019","1/24/2020",1,0,0,"US/Canada","Consumer","App",1,1,99,2,1,2,1,1,35.97,1,0,0,1,0,0,0.0202020202020202,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,"ALL",1,0,"Web",218.9,"USD","2/26/2020","1/1/2099",0,0,0,"US/Canada","Consumer","Web",1,1,10,1,0,1,0,1,218.9,1,0,0,1,0,1,0.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,"DEU",0,0,"Web",62.3,"EUR","3/24/2020","9/30/2020",0,1,1,"Europe","Consumer","Web",0,1,13,7,5,3,2,1.12,69.776,0,0,1,1,0,1,0.538461538461538,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,"ALL",1,0,"Web",189,"USD","2/27/2020","1/1/2099",0,1,0,"US/Canada","Consumer","Web",1,1,13,1,0,1,0,1,189,1,0,0,1,0,1,0.0769230769230769,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,"ITA",0,0,"Web",53.4,"EUR","10/30/2019","4/30/2020",1,0,1,"Europe","Consumer","App",0,1,4,4,0,1,0,1.12,59.808,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,"ESP",0,0,"Web",0,"USD","11/25/2018","2/25/2020",0,0,0,"US/Canada","Consumer","Web",1,1,9,9,0,2,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,"ALL",1,0,"Web",199,"USD","3/16/2020","1/1/2099",0,0,0,"US/Canada","Consumer","Web",1,1,57,8,8,2,2,1,199,1,0,0,1,0,1,0.140350877192982,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,"ALL",0,0,"Web",239,"EUR","3/22/2020","3/22/2022",0,1,1,"Europe","Consumer","Web",1,1,13,1,1,1,1,1.12,267.68,0,0,1,1,0,1,0.0769230769230769,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"JPN",0,0,"Web",79,"USD","7/20/2019","4/20/2020",1,0,0,"US/Canada","Consumer","App",0,1,10,9,4,2,1,1,79,1,0,0,1,0,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
